"filename", "language", "pip requirements", "Python", "XML", "comment", "blank", "total"
"c:\Project\MusicNetwork\.idea\MusicNetwork.iml", "XML", 0, 0, 10, 0, 0, 10
"c:\Project\MusicNetwork\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 6
"c:\Project\MusicNetwork\.idea\misc.xml", "XML", 0, 0, 7, 0, 0, 7
"c:\Project\MusicNetwork\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 8
"c:\Project\MusicNetwork\data\keywords.py", "Python", 0, 212, 0, 326, 35, 573
"c:\Project\MusicNetwork\data\midi_alphabet.py", "Python", 0, 2, 0, 0, 1, 3
"c:\Project\MusicNetwork\decoder_lstm.py", "Python", 0, 39, 0, 0, 13, 52
"c:\Project\MusicNetwork\encoder_linear.py", "Python", 0, 30, 0, 0, 11, 41
"c:\Project\MusicNetwork\learndata.py", "Python", 0, 2326, 0, 407, 28, 2761
"c:\Project\MusicNetwork\main.py", "Python", 0, 89, 0, 5, 32, 126
"c:\Project\MusicNetwork\meta\metaparser.py", "Python", 0, 92, 0, 12, 25, 129
"c:\Project\MusicNetwork\music_nn.py", "Python", 0, 22, 0, 0, 9, 31
"c:\Project\MusicNetwork\prepare_learn_data.py", "Python", 0, 71, 0, 2, 21, 94
"c:\Project\MusicNetwork\requirements.txt", "pip requirements", 5, 0, 0, 0, 0, 5
"c:\Project\MusicNetwork\test.py", "Python", 0, 7, 0, 3, 3, 13
"Total", "-", 5, 2890, 31, 755, 178, 3859
